source,item_name,dough_sku,weekday,date,produced_qty,sold_qty,leftover_qty,sellout,unusual_context
SIMULATED,Chocolate Cream Donut,donut-dough,Tuesday,2026-07-28,15,15,0,TRUE,
SIMULATED,Chocolate Cream Donut,donut-dough,Tuesday,2026-08-04,15,12,3,FALSE,
SIMULATED,Mango Cream Donut,donut-dough,Tuesday,2026-07-14,8,5,3,FALSE,
SIMULATED,Mango Cream Donut,donut-dough,Tuesday,2026-07-21,8,4,4,FALSE,
SIMULATED,Mango Cream Donut,donut-dough,Tuesday,2026-07-28,8,6,2,FALSE,
SIMULATED,Mango Cream Donut,donut-dough,Tuesday,2026-08-04,8,5,3,FALSE,
SIMULATED,Ube Cream Donut,donut-dough,Tuesday,2026-07-14,8,7,1,FALSE,
SIMULATED,Ube Cream Donut,donut-dough,Tuesday,2026-07-21,8,8,0,TRUE,
SIMULATED,Ube Cream Donut,donut-dough,Tuesday,2026-07-28,8,6,2,FALSE,
SIMULATED,Ube Cream Donut,donut-dough,Tuesday,2026-08-04,8,8,0,TRUE,
SIMULATED,Pistachio Cream Donut,donut-dough,Tuesday,2026-07-14,8,3,5,FALSE,
SIMULATED,Pistachio Cream Donut,donut-dough,Tuesday,2026-07-21,8,2,6,FALSE,
SIMULATED,Pistachio Cream Donut,donut-dough,Tuesday,2026-07-28,8,4,4,FALSE,
SIMULATED,Pistachio Cream Donut,donut-dough,Tuesday,2026-08-04,8,3,5,FALSE,
SIMULATED,Portuguese Egg Tart,ready-to-bake,Tuesday,2026-07-14,14,12,2,FALSE,
SIMULATED,Portuguese Egg Tart,ready-to-bake,Tuesday,2026-07-21,14,14,0,TRUE,
SIMULATED,Portuguese Egg Tart,ready-to-bake,Tuesday,2026-07-28,14,11,3,FALSE,
SIMULATED,Portuguese Egg Tart,ready-to-bake,Tuesday,2026-08-04,14,13,1,FALSE,
SIMULATED,Mont Blanc Pastry,mont-blanc-dough,Tuesday,2026-07-14,8,6,2,FALSE,
SIMULATED,Mont Blanc Pastry,mont-blanc-dough,Tuesday,2026-07-21,8,5,3,FALSE,
SIMULATED,Mont Blanc Pastry,mont-blanc-dough,Tuesday,2026-07-28,8,7,1,FALSE,
SIMULATED,Mont Blanc Pastry,mont-blanc-dough,Tuesday,2026-08-04,8,6,2,FALSE,
SIMULATED,Croquette,croquette-dough,Tuesday,2026-07-14,10,8,2,FALSE,
SIMULATED,Croquette,croquette-dough,Tuesday,2026-07-21,10,9,1,FALSE,
SIMULATED,Croquette,croquette-dough,Tuesday,2026-07-28,10,7,3,FALSE,
SIMULATED,Croquette,croquette-dough,Tuesday,2026-08-04,10,8,2,FALSE,
SIMULATED,Kimchi Croquette,kimchi-croquette-dough,Tuesday,2026-07-14,15,13,2,FALSE,
SIMULATED,Kimchi Croquette,kimchi-croquette-dough,Tuesday,2026-07-21,15,15,0,TRUE,Local food festival promotion nearby
SIMULATED,Kimchi Croquette,kimchi-croquette-dough,Tuesday,2026-07-28,15,11,4,FALSE,
SIMULATED,Kimchi Croquette,kimchi-croquette-dough,Tuesday,2026-08-04,15,12,3,FALSE,
SIMULATED,Mushroom Onion Cheese Pastry,square-dough,Tuesday,2026-07-14,24,20,4,FALSE,
SIMULATED,Mushroom Onion Cheese Pastry,square-dough,Tuesday,2026-07-21,24,18,6,FALSE,
SIMULATED,Mushroom Onion Cheese Pastry,square-dough,Tuesday,2026-07-28,24,21,3,FALSE,
SIMULATED,Mushroom Onion Cheese Pastry,square-dough,Tuesday,2026-08-04,24,19,5,FALSE,
SIMULATED,Guava Danish,ready-to-bake,Tuesday,2026-07-14,10,4,6,FALSE,
SIMULATED,Guava Danish,ready-to-bake,Tuesday,2026-07-21,10,3,7,FALSE,
SIMULATED,Guava Danish,ready-to-bake,Tuesday,2026-07-28,10,5,5,FALSE,
SIMULATED,Guava Danish,ready-to-bake,Tuesday,2026-08-04,10,4,6,FALSE,
